Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,USB_B_Micro,USB_Micro-B_Molex-105133-0001,96.9,-27.275,180.0,top
J7,F0503-ZV-24-20T-R,FPC_24,90.45,-71.675,0.0,top
J11,USB_B_Micro,USB_Micro-B_Molex-105133-0001,85.045,-27.395,180.0,top
